,soup
34,"['ben affleck', 'rosamund pike', 'carrie coon', 'neil patrick harris', 'tyler perry'] david fincher ['falsely accused person', 'based on novel', 'marriage crisis', 'disappearance', 'cheating husband'] with his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent. gone girl  ['drama', 'thriller']"
35,"['brad pitt', 'shia labeouf', 'logan lerman', 'michael peã±a', 'jon bernthal'] david ayer ['world war ii', 'nazis', 'war', 'nazi germany', 'panzer'] last months of world war ii in april 1945. as the allies make their final push in the european theater, a battle-hardened u.s. army sergeant in the 2nd armored division named wardaddy commands a sherman tank called ""fury"" and its five-man crew on a deadly mission behind enemy lines. outnumbered and outgunned, wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of nazi germany. fury  ['action', 'drama', 'war']"
36,"['shailene woodley', 'theo james', 'kate winslet', 'miles teller', 'ray stevenson'] neil burger ['based on novel', 'dystopia', 'youth', 'dystopic future', 'caste system'] in a world divided into factions based on personality types, tris learns that she's been classified as divergent and won't fit in. when she discovers a plot to destroy divergents, tris and the mysterious four must find out what makes divergents dangerous before it's too late. divergent  ['adventure', 'romance', 'sci-fi', 'imax']"
37,"['hugh jackman', 'james mcavoy', 'patrick stewart', 'michael fassbender', 'ian mckellen'] bryan singer ['1970s', 'mutant', 'time travel', 'marvel comic', 'based on comic book'] the ultimate x-men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past â€“ to save our future. x-men: days of future past  ['action', 'adventure', 'sci-fi']"
38,"['scarlett johansson', 'morgan freeman', 'choi min-sik', 'amr waked', 'julian rhind-tutt'] luc besson ['artificial intelligence', 'intelligence', 'drug mule', 'futuristic', 'drug'] a woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic. lucy  ['action', 'sci-fi']"
39,"['jake gyllenhaal', 'rene russo', 'riz ahmed', 'bill paxton', 'kevin rahm'] dan gilroy ['journalism', 'underground', 'tv station', 'sociopath', 'home invasion'] when lou bloom, desperate for work, muscles into the world of l.a. crime journalism, he blurs the line between observer and participant to become the star of his own story. aiding him in his effort is nina, a tv-news veteran. nightcrawler  ['crime', 'drama', 'thriller']"
40,"['ralph fiennes', 'tony revolori', 'f. murray abraham', 'mathieu amalric', 'adrien brody'] wes anderson ['hotel', 'painting', 'wartime', 'gunfight', 'theft'] the grand budapest hotel tells of a legendary concierge at a famous european hotel between the wars and his friendship with a young employee who becomes his trusted protã©gã©. the story involves the theft and recovery of a priceless renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed europe during the first half of the 20th century. grand budapest hotel, the  ['comedy', 'drama']"
41,"['miles teller', 'j.k. simmons', 'melissa benoist', 'austin stowell', 'jayson blair'] damien chazelle ['jazz', 'obsession', 'conservatory', 'music teacher', 'new york city'] under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity. whiplash  ['drama']"
42,"['andy serkis', 'jason clarke', 'toby kebbell', 'keri russell', 'judy greer'] matt reeves ['leader', 'colony', 'post-apocalyptic', 'dystopia', 'sequel'] a group of scientists in san francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while caesar tries to maintain dominance over his community of intelligent apes. dawn of the planet of the apes  ['sci-fi']"
43,"['jason bateman', 'jason sudeikis', 'charlie day', 'jennifer aniston', 'kevin spacey'] sean anders ['prison', 'sequel', 'kidnapping', 'car chase', 'sex addict'] dale, kurt and nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme. horrible bosses 2  ['comedy', 'crime']"
44,"['andrew garfield', 'emma stone', 'jamie foxx', 'dane dehaan', 'colm feore'] marc webb ['marvel comic', 'sequel', 'based on comic book', 'sony', '3d'] for peter parker, life is busy. between taking out the bad guys as spider-man and spending time with the person he loves, gwen stacy, high school graduation cannot come quickly enough. peter has not forgotten about the promise he made to gwenâ€™s father to protect her by staying away, but that is a promise he cannot keep. things will change for peter when a new villain, electro, emerges, an old friend, harry osborn, returns, and peter uncovers new clues about his past. the amazing spider-man 2  ['action', 'sci-fi', 'imax']"
45,"['tom cruise', 'emily blunt', 'brendan gleeson', 'bill paxton', 'jonas armstrong'] doug liman ['deja vu', 'time warp', 'dystopia', 'war', 'alien'] major bill cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. cage is killed within minutes, managing to take an alpha alien down with him. he awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop. edge of tomorrow  ['action', 'sci-fi', 'imax']"
46,"['james franco', 'seth rogen', 'lizzy caplan', 'randall park', 'diana bang'] evan goldberg|seth rogen ['cia', ""coup d'etat"", 'north korea', 'assassination attempt', 'evil dictator'] dave skylark and his producer aaron rapoport run the celebrity tabloid show ""skylark tonight"". when they land an interview with a surprise fan, north korean dictator kim jong-un, they are recruited by the cia to turn their trip to pyongyang into an assassination mission. the interview  ['action', 'comedy']"
47,"['bradley cooper', 'sienna miller', 'kyle gallner', 'cole konis', 'ben reed'] clint eastwood ['sniper', 'biography', 'iraq', 'navy seal', 'u.s. soldier'] u.s. navy seal chris kyle takes his sole missionâ€”protect his comradesâ€”to heart and becomes one of the most lethal snipers in american history. his pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. despite grave danger and his struggle to be a good husband and father to his family back in the states, kyle serves four tours of duty in iraq. however, when he finally returns home, he finds that he cannot leave the war behind. american sniper  ['action', 'war']"
48,"['aaron taylor-johnson', 'ken watanabe', 'elizabeth olsen', 'bryan cranston', 'juliette binoche'] gareth edwards ['monster', 'godzilla', 'remake', 'giant monster', 'gojira'] fifteen years after an 'incident' at a japanese nuclear power plant, physicist joe brody joins forces with his soldier son ford to discover for themselves what really happened.  what they uncover is prelude to global-threatening devastation.  an epic rebirth to toho's iconic godzilla, this spectacular adventure pits the world's most famous monster against malevolent creatures who, bolstered by humanity's scientific arrogance, threaten our very existence. godzilla  ['action', 'adventure', 'sci-fi', 'imax']"
49,"['angelina jolie', 'elle fanning', 'juno temple', 'sharlto copley', 'isobelle molloy'] robert stromberg ['fairy tale', 'villain', 'sleeping beauty', 'dark fantasy', 'based on fairy tale'] the untold story of disney's most iconic villain from the 1959 classic 'sleeping beauty'. a beautiful, pure-hearted young woman, maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal â€“ an act that begins to turn her heart into stone. bent on revenge, maleficent faces an epic battle with the invading king's successor and, as a result, places a curse upon his newborn infant aurora. as the child grows, maleficent realizes that aurora holds the key to peace in the kingdom - and to maleficent's true happiness as well. maleficent  ['action', 'adventure', 'children', 'imax']"
50,"['jay baruchel', 'gerard butler', 'kristen wiig', 'jonah hill', 'cate blanchett'] dean deblois ['father-son relationship', 'wife husband relationship', 'sacrifice', 'viking', 'sequel'] the thrilling second chapter of the epic how to train your dragon trilogy brings back the fantastical world of hiccup and toothless five years later. while astrid, snotlout and the rest of the gang are challenging each other to dragon races (the island's new favorite contact sport), the now inseparable pair journey through the skies, charting unmapped territories and exploring new worlds. when one of their adventures leads to the discovery of a secret ice cave that is home to hundreds of new wild dragons and the mysterious dragon rider, the two friends find themselves at the center of a battle to protect the peace. how to train your dragon 2  ['action', 'adventure', 'animation']"
51,"['will arnett', 'elizabeth banks', 'craig berry', 'alison brie', 'david burrows'] phil lord|christopher miller ['father-son relationship', 'creativity', 'friendship', 'part live action', 'toys'] an ordinary lego mini-figure, mistakenly thought to be the extraordinary masterbuilder, is recruited to join a quest to stop an evil lego tyrant from gluing the universe together. the lego movie  ['action', 'adventure', 'animation', 'children', 'comedy', 'fantasy']"
52,"['eddie redmayne', 'felicity jones', 'harry lloyd', 'david thewlis', 'emily watson'] james marsh ['biography', 'physicist', 'based on memoir', 'stephen hawking'] a look at the relationship between the famous physicist stephen hawking and his wife. the theory of everything  ['drama', 'romance']"
53,"['jonah hill', 'channing tatum', 'dave franco', 'ice cube', 'nick offerman'] phil lord|christopher miller ['high school', 'undercover cop', 'buddy comedy', 'aftercreditsstinger', 'duringcreditsstinger'] after making their way through high school (twice), big changes are in store for officers schmidt and jenko when they go deep undercover at a local college. but when jenko meets a kindred spirit on the football team, and schmidt infiltrates the bohemian art major scene, they begin to question their partnership. now they don't have to just crack the case - they have to figure out if they can have a mature relationship. if these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them. 22 jump street  ['action', 'comedy', 'crime']"
54,"['ellar coltrane', 'patricia arquette', 'ethan hawke', 'elijah smith', 'lorelei linklater'] richard linklater ['daily life', ""family's daily life"", 'urban life', 'growing up', 'domestic abuse'] the film tells a story of a divorced couple trying to raise their young son. the story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows. boyhood  ['drama']"
55,"['seth rogen', 'zac efron', 'rose byrne', 'dave franco', 'ike barinholtz'] nicholas stoller ['alcohol', 'baby', 'party', 'family', 'fraternity'] a couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house. neighbors  ['comedy']"
56,"['seth macfarlane', 'charlize theron', 'liam neeson', 'amanda seyfried', 'neil patrick harris'] seth macfarlane ['gunslinger', 'farmer', 'wild west'] as a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival. a million ways to die in the west  ['comedy', 'western']"
57,"['mark hamill', 'harrison ford', 'carrie fisher', 'peter cushing', 'alec guinness'] george lucas ['android', 'galaxy', 'hermit', 'death star', 'lightsaber'] princess leia is captured and held hostage by the evil imperial forces in their effort to take over the galactic empire. venturesome luke skywalker and dashing captain han solo team together with the loveable robot duo r2-d2 and c-3po to rescue the beautiful princess and restore peace and justice in the empire. star wars: episode iv - a new hope  ['action', 'adventure', 'sci-fi']"
58,"['roger moore', 'barbara bach', 'curd jã¼rgens', 'richard kiel', 'caroline munro'] lewis gilbert ['london', 'submarine', 'england', 'assassination', 'spy'] russian and british submarines with nuclear missiles on board both vanish from sight without a trace. england and russia both blame each other as james bond tries to solve the riddle of the disappearing ships. but the kgb also has an agent on the case. spy who loved me, the  ['action', 'adventure', 'thriller']"
59,"['bob newhart', 'eva gabor', 'geraldine page', 'joe flynn', 'jeanette nolan'] john lounsbery|wolfgang reitherman|art stevens ['mouse', 'baby-snatching', 'bottle', 'albatros', 'rescue'] what can two little mice possibly do to save an orphan girl who's fallen into evil hands? with a little cooperation and faith in oneself, anything is possible! as members of the mouse-run international rescue aid society, bernard and miss bianca respond to orphan penny's call for help. the two mice search for clues with the help of an old cat named rufus. rescuers, the  ['adventure', 'animation', 'children', 'crime', 'drama']"
60,"['woody allen', 'diane keaton', 'tony roberts', 'carol kane', 'paul simon'] woody allen ['neurosis', 'comedian', 'job interview', 'love', 'singer'] in the city of new york, comedian alvy singer falls in love with the ditsy annie hall. annie hall  ['comedy', 'romance']"
61,"['sean marshall', 'helen reddy', 'mickey rooney', 'red buttons', 'jim dale'] don chaffey ['farm', 'friendship', 'part live action', 'escape', 'dragon'] pete, a young orphan, runs away to a maine fishing town with his best friend a lovable, sometimes invisible dragon named elliott! when they are taken in by a kind lighthouse keeper, nora, and her father, elliott's prank playing lands them in big trouble. then, when crooked salesmen try to capture elliott for their own gain, pete must attempt a daring rescue. pete's dragon  ['adventure', 'animation', 'children', 'musical']"
62,"['richard dreyfuss', 'franã§ois truffaut', 'teri garr', 'melinda dillon', 'bob balaban'] steven spielberg ['indiana', 'obsession', 'extraterrestrial technology', 'evacuation', 'blackout'] after an encounter with ufos, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen. close encounters of the third kind  ['adventure', 'drama', 'sci-fi']"
63,"['john travolta', 'karen lynn gorney', 'barry miller', 'joseph cali', 'paul pape'] john badham ['dancing master', 'dance performance', 'lover (female)', 'dancing scene', 'disco'] nineteen-year-old tony manero lives for saturday nights at the local disco, where he's king of the dance floor. but outside of the club, things don't look so rosy. at home, he fights constantly with his father and has to compete with his family's starry-eyed view of his older brother, a priest. then, he meets stephanie at the disco and they agree to dance together in a competition. stephanie resists tony's attempts to romance her, as she aspires to greater things; she is moving across the river to manhattan. gradually, tony also becomes disillusioned with the life he is leading and he and stephanie decide to help one another to start afresh saturday night fever  ['comedy', 'drama', 'romance']"
64,"['jack nance', 'charlotte stewart', 'allen joseph', 'jeanne bates', 'judith roberts'] david lynch ['baby', 'mutant', 'claustrophobia', 'nightmare', 'parents-in-law'] henry spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child. eraserhead  ['drama', 'horror']"
65,"['richard dreyfuss', 'marsha mason', 'quinn cummings', 'paul benedict', 'barbara rhoades'] herbert ross ['theatre play'] paula mcfadden knows: in romance, actors all follow the same stage instruction: exit. without warning, her actor boyfriend split today for a movie role and sublet their manhattan apartment. the new tenant's name: elliot garfield. profession: actor. richard dreyfuss and marsha mason deliver comedy, zingy repartee and bitter-to-best romance in the goodbye girl. goodbye girl, the  ['comedy', 'romance']"
66,"['sam worthington', 'zoe saldana', 'sigourney weaver', 'stephen lang', 'michelle rodriguez'] james cameron ['culture clash', 'future', 'space war', 'space colony', 'society'] in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. avatar  ['action', 'adventure', 'sci-fi', 'imax']"
67,"['brad pitt', 'mã©lanie laurent', 'christoph waltz', 'eli roth', 'michael fassbender'] quentin tarantino ['paris', 'guerilla', 'cinema', 'self sacrifice', 'dynamite'] in nazi-occupied france during world war ii, a group of jewish-american soldiers known as ""the basterds"" are chosen specifically to spread fear throughout the third reich by scalping and brutally killing nazis. the basterds, lead by lt. aldo raine soon cross paths with a french-jewish teenage girl who runs a movie theater in paris which is targeted by the soldiers. inglourious basterds  ['action', 'drama', 'war']"
